i,j,k,x_um,y_um,z_um,pressure,temperature,liquid_fraction,fill_level,ux,uy,uz,vmag
0,0,40,0.00,0.00,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1,0,40,3.75,0.00,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2,0,40,7.50,0.00,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3,0,40,11.25,0.00,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4,0,40,15.00,0.00,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5,0,40,18.75,0.00,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
6,0,40,22.50,0.00,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7,0,40,26.25,0.00,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
8,0,40,30.00,0.00,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
9,0,40,33.75,0.00,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
10,0,40,37.50,0.00,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
11,0,40,41.25,0.00,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
12,0,40,45.00,0.00,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
13,0,40,48.75,0.00,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
14,0,40,52.50,0.00,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
15,0,40,56.25,0.00,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
16,0,40,60.00,0.00,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
17,0,40,63.75,0.00,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
18,0,40,67.50,0.00,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
19,0,40,71.25,0.00,150.00,-2.47733350e+03,3.00000000e+02,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
